Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás,SSD max írás,SSD max olvasás,TBW,Világítás,Hűtőborda,Ár (FT),Méretek,PCI-e 4.0 SSD
LEXAR 256GB NM100 M.2 SATA M.2 2280 LNM100-256RB,M.2 2280,M.2 SATA,TLC,256 GB,550 MB/s,550 MB/s,128 TB,Nem,Nem,13990,80 x 22 x 2.25 mm,
LEXAR 256GB NM620 M.2 PCIe M.2 2280 LNM620X256G-RNNNG,M.2 2280,M.2 PCIe,TLC,256 GB,1300 MB/s,3000 MB/s,125 TB,Nem,Nem,17790,80 x 22 x 2.25 mm,
LEXAR 256GB NM700 M.2 PCIe M.2 2280 LNM700-256RB,M.2 2280,M.2 PCIe,TLC,256 GB,1200 MB/s,3500 MB/s,150 TB,Nem,Nem,20991,80 x 22 x 2.25 mm,
"LEXAR 256GB NS100 SATA 3 2.5"" LNS100-256RB","2.5""",SATA 3,TLC,256 GB,520 MB/s,520 MB/s,128 TB,Nem,Nem,15490,69.85 x 100.2 x 7 mm,
"LEXAR 480GB NQ100 SATA 3 2.5"" LNQ100X480G-RNNNG","2.5""",SATA 3,TLC,480 GB,0 MB/s,550 MB/s,168 TB,Nem,Nem,21190,69.85 x 100.2 x 7 mm,
LEXAR 500GB NM610 M.2 PCIe M.2 2280 LNM610-500RB,M.2 2280,M.2 PCIe,TLC,500 GB,1600 MB/s,2100 MB/s,250 TB,Nem,Nem,24790,80 x 22 x 2.25 mm,
LEXAR 512GB NM100 M.2 SATA M.2 2280 LNM100-512RB,M.2 2280,M.2 SATA,TLC,512 GB,550 MB/s,550 MB/s,256 TB,Nem,Nem,21789,80 x 22 x 2.25 mm,
LEXAR 512GB NM620 M.2 PCIe M.2 2280 LNM620X512G-RNNNG,M.2 2280,M.2 PCIe,TLC,512 GB,2400 MB/s,3000 MB/s,250 TB,Nem,Nem,26490,80 x 22 x 2.25 mm,
LEXAR 512GB NM700 M.2 PCIe M.2 2280 LNM700-512RB,M.2 2280,M.2 PCIe,TLC,512 GB,2000 MB/s,3500 MB/s,300 TB,Nem,Nem,31590,80 x 22 x 2.25 mm,
"LEXAR 512GB NS100 SATA 3 2.5"" LNS100-512RB","2.5""",SATA 3,TLC,512 GB,550 MB/s,550 MB/s,256 TB,Nem,Nem,21789,69.85 x 100.2 x 7 mm,
MEDIARANGE 128GB MR1021 M.2 SATA M.2 2280,M.2 2280,M.2 SATA,TLC,128 GB,430 MB/s,510 MB/s,50 TB,Nem,Nem,9590,80 x 22 x 2.5 mm,
"MEDIARANGE 240GB MR1002 SATA 3 2.5"" MR1002","2.5""",SATA 3,TLC,240 GB,450 MB/s,500 MB/s,0 TB,Nem,Nem,13390,100 x 69.9 x 7 mm,
"MEDIARANGE 480GB MR1003 SATA 3 2.5"" MR1003","2.5""",SATA 3,TLC,480 GB,480 MB/s,500 MB/s,0 TB,Nem,Nem,23090,100 x 69.9 x 7 mm,
"MEDIARANGE 960GB MR1004 SATA 3 2.5"" MR1004","2.5""",SATA 3,TLC,960 GB,480 MB/s,550 MB/s,0 TB,Nem,Nem,39190,100 x 69.9 x 7 mm,
MUSHKIN 120GB Pilot M.2 PCIe M.2 2280 MKNSSDPL120GB-D8,M.2 2280,M.2 PCIe,TLC,120 GB,515 MB/s,1215 MB/s,0 TB,Nem,Nem,14590,,
"MUSHKIN 120GB Source SATA 3 2.5"" MKNSSDSR120GB","2.5""",SATA 3,TLC,120 GB,440 MB/s,510 MB/s,0 TB,Nem,Nem,10490,100.45 x 69.85 x 7 mm,
MUSHKIN 1TB Helix-L M.2 PCIe M.2 2280 MKNSSDHL1TB-D8,M.2 2280,M.2 PCIe,TLC,1000 GB,1700 MB/s,2110 MB/s,600 TB,Nem,Nem,43390,22 x 80 x 3.8 mm,
MUSHKIN 1TB Pilot-E M.2 PCIe M.2 2280 MKNSSDPE1TB-D8,M.2 2280,M.2 PCIe,TLC,1000 GB,3000 MB/s,3500 MB/s,650 TB,Nem,Nem,52989,80 x 22 x 3.8 mm,
MUSHKIN 250GB Helix-L M.2 PCIe M.2 2280 MKNSSDHL250GB-D8,M.2 2280,M.2 PCIe,TLC,250 GB,1250 MB/s,2010 MB/s,150 TB,Nem,Nem,16990,22 x 80 x 3.8 mm,
